ssn_last_four,state,street
1009,Texas,057 Lerdahl
9246,New York,02 Glacier Hill
9631,Texas,087 Sloan
8762,California,6776 Coleman
7055,California,54238 Main
4630,Nevada,26866 Pawling
1041,New York,07 Summerview
8290,Florida,1 Coleman
2853,Florida,58 Carioca
2585,Alabama,7327 Laurel
5809,Georgia,6 Hermina
9046,Texas,51204 Di Loreto
4910,North Carolina,26212 Oriole
2519,Texas,164 Summerview
1940,Pennsylvania,55 Northport
4277,New York,34 Bultman
8308,Pennsylvania,0 Elka
7360,Michigan,449 Fremont
5530,New York,93821 Rockefeller
7116,Florida,23 Orin
1374,Wisconsin,6 Porter
0693,Ohio,23788 Annamark
6712,Florida,7 Acker
7703,Alabama,982 Sutteridge
7524,California,45 Elgar
8934,Illinois,279 Merchant
4657,Virginia,626 Pine View
4529,Colorado,73199 Erie
7512,California,683 Sunbrook
7569,New Jersey,21323 South
4396,Kansas,3447 South
2896,Utah,09032 Sheridan
9698,Texas,48294 Menomonie
7557,Nevada,707 Oak
6750,California,9300 Porter
3110,California,83 Loomis
7426,Texas,767 Oriole
0895,Florida,45 Goodland
5212,Missouri,9932 Parkside
5588,Georgia,29106 Roxbury
1030,North Carolina,9824 Raven
9362,Texas,81788 Transport
5443,New York,61940 Ohio
6491,Georgia,9229 Golf
9137,New York,19 Lakeland
2289,Minnesota,9 Jenna
0962,California,5705 Badeau
4240,Texas,937 Eagle Crest
1871,Kansas,58 Manley
0184,California,2402 Pepper Wood
0952,Minnesota,16 Lake View
8736,California,17404 Melby
2546,Louisiana,0 Fordem
4251,New York,2269 Logan
5096,New York,7946 Valley Edge
1895,Florida,3590 Bunting
7555,Indiana,46692 Wayridge
2507,Michigan,0412 Village
8429,California,64 Hudson
7752,Virginia,8 Sauthoff
5788,New York,47184 Comanche
1910,New York,3 Oriole
6858,New York,0747 Menomonie
3658,Mississippi,17 Melody
2531,New York,676 Melvin
3604,Colorado,1 Chinook
3638,Oklahoma,1 Forest
1429,California,6752 Pawling
3468,Pennsylvania,0 7th
5428,Texas,743 Fairfield
0593,Tennessee,68463 Sage
1455,Florida,48938 Ryan
3135,California,372 Dayton
8219,Texas,20202 Lakeland
2960,Michigan,0469 Muir
7113,California,4 Paget
8715,Connecticut,23 Barnett
4280,Georgia,8409 Norway Maple
4428,New York,426 Darwin
7207,Pennsylvania,54728 Meadow Ridge
8848,California,0931 Center
1558,California,6314 Waubesa
1299,Alabama,4194 Acker
6560,Texas,13338 Elka
5207,Pennsylvania,1121 Buell
1355,Florida,886 Amoth
8355,Illinois,43978 Clyde Gallagher
8310,Pennsylvania,688 Luster
1988,Nevada,7 Longview
5734,Minnesota,57 Goodland
0131,District of Columbia,2726 Graceland
1418,Washington,177 Kipling
6481,Florida,74573 Becker
8429,California,9 Bay
5839,Colorado,51 Mallory
4106,North Carolina,8415 Sheridan
7533,Missouri,10 Cottonwood
9653,Colorado,59 Arizona
6549,Pennsylvania,530 Granby
