income,state,street,postal
73344,Hawaii,5 Kingsford,96840
122824,North Carolina,7562 Florence,28284
133827,Georgia,1099 Northridge,30311
101022,Arizona,46779 Toban,85040
143786,Virginia,8 Bunker Hill,24048
139661,Georgia,4695 Stoughton,30605
91492,Oregon,47844 Fisk,97296
83548,California,8 Sunfield,90510
72692,Colorado,55 Westridge,80299
144593,New York,8 Redwing,10160
92015,California,63799 3rd,90505
124869,Minnesota,793 Main,55428
98223,Georgia,3468 Granby,31904
104874,Tennessee,683 Pennsylvania,37605
70653,Idaho,24676 Nobel,83711
88636,New York,47587 American,10633
93773,Iowa,4323 Towne,50335
108513,Texas,45 Texas,75226
106404,Kansas,6593 Loeprich,67220
123155,California,2 Hazelcrest,95205
143568,Colorado,5840 Carioca,80279
122689,Alabama,1290 Bayside,35210
97680,Nevada,8425 Texas,89130
86930,New York,12321 Oak Valley,10305
93882,Kansas,1 8th,67210
144921,California,054 Fuller,92056
102556,California,8100 Holmberg,90040
137640,Michigan,319 Sheridan,48242
84757,Louisiana,0 Fordem,71213
140091,Texas,9285 Macpherson,78265
117852,Utah,7104 Helena,84409
141330,Iowa,21 Alpine,52245
136097,Florida,90956 Crownhardt,34290
121772,Minnesota,115 Dexter,55811
140939,Missouri,317 Oakridge,63169
90975,Texas,2 Hollow Ridge,78225
76148,Texas,1114 Oakridge,75260
113172,Minnesota,9763 Little Fleur,55905
84894,Arizona,5815 Badeau,85005
106732,Pennsylvania,0948 Anniversary,15250
117167,New York,2 Scott,14220
83320,California,3608 Lyons,94660
134817,Pennsylvania,54728 Meadow Ridge,15210
113051,New Jersey,77 Ohio,07522
91259,Tennessee,18 Nobel,38197
90443,Alabama,2272 Evergreen,35263
149041,Colorado,73199 Erie,81005
111905,Texas,3890 Pearson,88541
115228,North Carolina,9 Riverside,27610
131506,Indiana,1 Dennis,46254
135330,Florida,80 Brickson Park,33961
141549,Texas,48294 Menomonie,77346
113822,Florida,1 Coleman,32830
88029,California,8787 Alpine,90805
87820,Indiana,1524 Green,47725
139303,Pennsylvania,0 7th,19141
99721,Alaska,4828 Steensland,99512
75299,Texas,5 Farragut,77212
134244,Nevada,707 Oak,89505
83662,Washington,2 Cambridge,99260
118808,California,29504 Waxwing,93591
142521,New York,561 Hansons,10099
85894,Florida,841 Dayton,33913
83580,California,014 American,90810
87146,Massachusetts,7181 Del Mar,02104
72455,Oklahoma,630 Vernon,73157
90466,Wisconsin,4306 Dakota,53716
97513,Arizona,01 Luster,85040
98124,Texas,4145 Roxbury,79769
149982,California,067 Grover,92165
122056,Georgia,3280 Westport,30045
114572,Texas,1 Heffernan,79491
79363,Illinois,8 Miller,61605
110121,New York,259 Superior,10045
128972,Texas,41218 Mesta,88514
94563,Colorado,27811 Oakridge,80299
143365,Pennsylvania,33224 Prentice,16107
95548,Florida,5 Carioca,33737
104536,California,7113 Merchant,94154
126006,Pennsylvania,77497 Hanover,16534
98860,Georgia,07 Basil,31132
76549,Florida,70 Westport,32819
104754,Illinois,21822 Ridge Oak,60681
136456,California,44 Nelson,90410
96315,New York,623 Northview,12205
74935,Georgia,43560 Raven,30392
91313,District of Columbia,4983 Northport,20535
98427,Georgia,062 Talisman,30356
126140,Florida,19327 Independence,33499
118841,Hawaii,8 Pepper Wood,96840
77673,South Dakota,743 Corben,57188
85338,Georgia,57931 Raven,30033
138027,Louisiana,0 Alpine,70810
92396,California,407 Prentice,95818
133909,Illinois,888 Armistice,60686
148012,Virginia,2 Hoepker,23605
80017,Nevada,680 Blaine,89714
129487,Mississippi,9977 Acker,39505
113482,Pennsylvania,530 Granby,19125
141584,Texas,52378 Mendota,79118
74702,California,817 Schiller,92710
148391,California,9414 Chinook,93591
120412,Illinois,7214 Judy,60505
137219,Pennsylvania,8 Nancy,19178
76546,Texas,43 Bay,78470
138742,Indiana,46692 Wayridge,47937
136245,North Carolina,85124 Pepper Wood,27425
132374,Florida,12 Prentice,33034
73084,Michigan,64650 Luster,49560
119479,North Carolina,1 Trailsway,27635
103036,Ohio,71 Loftsgordon,45213
112406,Virginia,09 Tomscot,22908
96403,Washington,6698 High Crossing,98109
115520,Tennessee,94015 Merry,37939
129907,Florida,09052 5th,33233
118789,Kansas,65363 Thierer,67230
141427,Michigan,07289 Delaware,48206
122197,Florida,368 Kings,33028
74095,West Virginia,529 Saint Paul,25305
130304,California,0931 Center,92165
136945,New York,16 Ryan,11210
137001,Texas,0076 Hauk,78415
92192,Texas,30873 Morningstar,76115
78744,Pennsylvania,3348 Dixon,19160
77113,Arizona,6873 Summit,85260
93465,District of Columbia,1 Sutteridge,20005
108055,Tennessee,637 Redwing,37919
71017,North Carolina,675 Nelson,28815
83925,Georgia,67692 Bartelt,31217
123294,Massachusetts,7384 Kennedy,02203
142956,Kansas,4 Division,67260
81455,Arizona,5032 Carey,85710
114343,Texas,512 Ludington,78415
92503,Arkansas,7537 Logan,72118
136447,New York,671 Birchwood,10469
130450,Texas,5 Westridge,76198
113453,District of Columbia,4 Saint Paul,20337
97372,Arizona,75783 Lyons,85720
75802,Florida,69 Autumn Leaf,33013
85332,Mississippi,17 Melody,39216
93067,Florida,865 Boyd,34745
104066,South Carolina,931 Carey,29305
117388,Arkansas,68812 Eastlawn,72209
70648,Missouri,51 Summer Ridge,64144
103047,Texas,24 Surrey,88574
77347,Texas,56 Butternut,78220
120380,Georgia,29106 Roxbury,30323
148201,Indiana,4 Corben,46226
138124,Minnesota,31 Arapahoe,55458
79300,Idaho,51 Ridge Oak,83711
80307,Florida,0657 Fallview,34233
132402,North Carolina,41037 Melvin,27110
120242,South Carolina,2753 Longview,29424
99848,Missouri,703 Jay,64193
98299,Arizona,0931 Drewry,85067
143413,Pennsylvania,7 Gateway,19125
140974,Florida,24632 Sycamore,34611
136707,Hawaii,6870 Bluejay,96820
141709,South Carolina,006 Esker,29805
129374,Minnesota,85655 Saint Paul,55811
136711,Arizona,6 Artisan,85035
102583,Pennsylvania,43 Summerview,15286
141331,Virginia,4081 Blaine,22903
127711,District of Columbia,4020 Emmet,20599
112735,California,78589 Commercial,94302
121305,District of Columbia,281 Westerfield,20260
116522,Tennessee,52 Golf,37605
122640,Massachusetts,456 Park Meadow,02458
149625,Arizona,759 Kenwood,85743
87688,Louisiana,816 Iowa,70820
100819,California,683 Sunbrook,94142
122454,Tennessee,59489 Mesta,37939
87551,Arizona,6 Gina,85040
80689,California,372 Dayton,92862
103820,Michigan,41736 Summer Ridge,49505
118357,Indiana,129 Warner,46862
105595,California,7 Melby,95973
120314,South Carolina,1615 Southridge,29203
87650,Texas,0617 Dunning,77255
109496,California,196 Golden Leaf,91328
147102,New York,04082 Steensland,11210
111180,Texas,86129 Katie,76210
119863,Maryland,475 Nevada,21229
84360,New York,011 Acker,10557
143824,Connecticut,931 Randy,06859
78751,Colorado,09952 Warrior,80235
87821,Hawaii,7 Pleasure,96810
133292,Oklahoma,271 Graedel,74108
139154,California,61 Pond,92705
100615,Florida,74573 Becker,34620
102983,Arizona,50303 Messerschmidt,85284
84457,North Carolina,8415 Sheridan,28256
121116,Delaware,0 Harper,19725
135278,Texas,599 Bultman,78255
133560,Ohio,0875 Fallview,44321
140812,Alabama,4194 Acker,35279
102664,Texas,868 Canary,79182
100018,Arizona,6 Hauk,85083
148687,Pennsylvania,91 Arrowood,16565
140033,Florida,82230 Vidon,33147
74582,California,67587 Loftsgordon,95133
94958,New York,2269 Logan,14269
93829,Georgia,5 Anzinger,30375
147024,Iowa,86 Ramsey,50347
143097,Virginia,189 Blackbird,23605
137010,Georgia,542 Lake View,31210
99505,Virginia,033 Florence,23663
100559,Virginia,13964 Pine View,24004
94818,Texas,0559 Ryan,77271
112167,California,08570 Fair Oaks,92405
121229,Virginia,89214 Mallard,23663
71942,California,205 Cascade,92405
136423,Texas,4 Walton,78210
120916,Missouri,98089 Center,64130
149174,Alabama,982 Sutteridge,36109
137731,Nevada,744 Caliangt,89510
145137,Kansas,52930 Marquette,66642
120508,Florida,29264 Barby,34290
149947,Kentucky,505 Swallow,40233
95779,California,95 Cardinal,90840
135659,Texas,463 Kennedy,79405
99609,Texas,27 Lighthouse Bay,79905
142458,Nevada,59 Morning,89130
136142,District of Columbia,028 Charing Cross,20036
130422,New York,30 Cody,14225
93960,Texas,5 Ilene,76210
133153,District of Columbia,41 Straubel,20525
107971,Virginia,2 Shasta,22070
72929,Idaho,4209 3rd,83206
114991,Washington,1287 Sauthoff,99205
83786,Illinois,24 Kipling,60567
130181,California,51937 Ohio,94169
102755,Louisiana,42 Harbort,70179
79323,Minnesota,9 Jenna,55188
124194,New York,8 Montana,12205
89497,Massachusetts,45 Towne,02305
113659,New York,60 Hollow Ridge,14210
146957,Texas,6605 Sycamore,75367
81536,Texas,1 Stoughton,77705
89186,Florida,86339 Vera,34642
117773,Missouri,16548 Ridgeway,64187
138928,California,5705 Badeau,92822
109148,California,44 Logan,95354
